"Date","Price","Open","High","Low","Vol.","Change %"
"03/03/2025","583.77","596.18","597.34","579.90","74.25M","-1.75%"
"02/28/2025","594.18","585.56","594.72","582.44","88.74M","1.56%"
"02/27/2025","585.05","596.85","598.02","584.65","74.20M","-1.60%"
"02/26/2025","594.54","595.93","599.58","591.86","43.32M","0.05%"
"02/25/2025","594.24","597.15","597.89","589.56","58.27M","-0.50%"
"02/24/2025","597.21","602.02","603.03","596.49","50.74M","-0.46%"
"02/21/2025","599.94","610.16","610.30","599.47","76.52M","-1.71%"
"02/20/2025","610.38","611.54","611.68","607.02","36.55M","-0.42%"
"02/19/2025","612.93","610.08","613.23","609.56","31.01M","0.24%"
"02/18/2025","611.49","610.88","611.49","608.38","26.75M","0.29%"
"02/14/2025","609.70","609.94","610.99","609.07","26.91M","0.00%"
"02/13/2025","609.73","604.48","609.94","603.20","40.92M","1.06%"
"02/12/2025","603.36","599.20","604.55","598.51","45.08M","-0.32%"
"02/11/2025","605.31","602.55","605.86","602.43","30.06M","0.08%"
"02/10/2025","604.85","604.03","605.50","602.74","26.05M","0.68%"
"02/07/2025","600.77","606.89","608.13","600.05","50.79M","-0.92%"
"02/06/2025","606.32","605.99","606.45","602.63","35.77M","0.35%"
"02/05/2025","604.22","600.64","604.37","598.58","30.65M","0.41%"
"02/04/2025","601.78","597.83","602.30","597.28","33.46M","0.67%"
"02/03/2025","597.77","592.67","600.29","590.49","65.86M","-0.67%"
"01/31/2025","601.82","607.50","609.96","601.05","66.67M","-0.53%"
"01/30/2025","605.04","603.96","606.60","600.72","39.28M","0.54%"
"01/29/2025","601.81","603.72","604.13","599.22","37.18M","-0.45%"
"01/28/2025","604.52","600.62","605.37","597.25","44.43M","0.86%"
"01/27/2025","599.37","594.81","599.69","594.64","70.36M","-1.41%"
"01/24/2025","607.97","609.81","610.78","606.80","34.60M","-0.29%"
"01/23/2025","609.75","605.80","609.75","605.52","41.15M","0.55%"
"01/22/2025","606.44","605.92","607.82","605.36","48.20M","0.56%"
"01/21/2025","603.05","600.67","603.06","598.67","42.53M","0.92%"
"01/17/2025","597.58","596.96","599.36","595.61","58.07M","1.00%"
"01/16/2025","591.64","594.17","594.35","590.93","43.32M","-0.19%"
"01/15/2025","592.78","590.33","593.94","589.20","56.90M","1.82%"
"01/14/2025","582.19","584.36","585.00","578.35","48.42M","0.14%"
"01/13/2025","581.39","575.77","581.75","575.35","47.91M","0.16%"
"01/10/2025","580.49","585.88","585.95","578.55","73.11M","-1.53%"
"01/08/2025","589.49","588.70","590.58","585.20","47.30M","0.15%"
"01/07/2025","588.63","597.42","597.75","586.78","60.39M","-1.13%"
"01/06/2025","595.36","596.27","599.70","593.60","47.68M","0.58%"
"01/03/2025","591.95","587.53","592.60","586.43","37.89M","1.25%"
"01/02/2025","584.64","589.39","591.13","580.50","50.20M","-0.25%"
"12/31/2024","586.08","589.91","590.64","584.42","57.05M","-0.36%"
"12/30/2024","588.22","587.89","591.74","584.41","56.58M","-1.14%"
"12/27/2024","595.01","597.54","597.78","590.76","64.97M","-1.05%"
"12/26/2024","601.34","599.50","602.48","598.08","41.34M","0.01%"
"12/24/2024","601.30","596.06","601.34","595.47","33.16M","1.11%"
"12/23/2024","594.69","590.89","595.30","587.66","57.64M","0.60%"
"12/20/2024","591.15","581.77","595.75","580.91","125.72M","0.86%"
"12/19/2024","586.10","591.36","593.00","585.85","85.92M","-0.03%"
"12/18/2024","586.28","603.98","606.41","585.89","108.25M","-2.98%"
"12/17/2024","604.29","604.19","605.17","602.89","55.77M","-0.41%"
"12/16/2024","606.79","606.00","607.78","605.21","43.70M","0.43%"
"12/13/2024","604.21","606.40","607.13","602.81","35.90M","-0.02%"
"12/12/2024","604.33","606.58","607.16","604.33","31.54M","-0.52%"
"12/11/2024","607.46","605.78","608.43","605.50","28.68M","0.77%"
"12/10/2024","602.80","605.37","605.80","602.13","37.23M","-0.31%"
"12/09/2024","604.68","607.69","607.86","604.08","34.74M","-0.51%"
"12/06/2024","607.81","607.44","609.07","607.02","31.24M","0.19%"
"12/05/2024","606.66","607.66","608.48","606.30","28.76M","-0.16%"
"12/04/2024","607.66","605.63","607.91","604.95","42.79M","0.62%"
"12/03/2024","603.91","603.39","604.16","602.34","26.91M","0.05%"
"12/02/2024","603.63","602.97","604.32","602.47","31.75M","0.18%"
"11/29/2024","602.55","599.66","603.35","599.38","30.18M","0.62%"
"11/27/2024","598.83","600.46","600.85","597.28","34.00M","-0.30%"
"11/26/2024","600.65","598.80","601.33","598.07","45.62M","0.52%"
"11/25/2024","597.53","599.52","600.86","595.20","42.44M","0.34%"
"11/22/2024","595.51","593.66","596.15","593.15","38.23M","0.31%"
"11/21/2024","593.67","593.40","595.12","587.45","46.75M","0.54%"
"11/20/2024","590.50","590.38","590.79","584.63","50.03M","0.03%"
"11/19/2024","590.30","584.71","591.04","584.03","49.41M","0.37%"
"11/18/2024","588.15","586.22","589.49","585.34","37.08M","0.41%"
"11/15/2024","585.75","589.72","590.20","583.86","75.99M","-1.28%"
"11/14/2024","593.35","597.32","597.81","592.65","38.90M","-0.64%"
"11/13/2024","597.19","597.37","599.23","594.96","47.39M","0.05%"
"11/12/2024","596.90","598.68","599.29","594.37","43.01M","-0.31%"
"11/11/2024","598.76","599.81","600.17","597.00","37.59M","0.10%"
"11/08/2024","598.19","596.17","599.64","596.16","46.44M","0.43%"
"11/07/2024","595.61","593.08","596.65","593.00","47.23M","0.77%"
"11/06/2024","591.04","589.20","591.93","585.39","68.18M","2.49%"
"11/05/2024","576.70","570.74","576.74","570.52","39.48M","1.21%"
"11/04/2024","569.81","571.18","572.50","567.89","38.22M","-0.22%"
"11/01/2024","571.04","571.32","575.55","570.62","45.67M","0.42%"
"10/31/2024","568.64","575.56","575.63","568.44","60.18M","-1.96%"
"10/30/2024","580.01","581.29","583.32","579.29","41.44M","-0.30%"
"10/29/2024","581.77","579.85","582.91","578.43","42.90M","0.16%"
"10/28/2024","580.83","582.58","582.71","580.52","30.17M","0.31%"
"10/25/2024","579.04","581.51","584.46","578.08","47.27M","-0.03%"
"10/24/2024","579.24","579.98","580.06","576.57","34.98M","0.22%"
"10/23/2024","577.99","581.26","581.71","574.41","49.31M","-0.91%"
"10/22/2024","583.32","581.05","584.50","580.38","34.18M","-0.05%"
"10/21/2024","583.63","583.85","584.85","580.60","36.44M","-0.16%"
"10/18/2024","584.59","584.07","585.39","582.58","37.42M","0.38%"
"10/17/2024","582.35","585.91","586.12","582.16","34.39M","0.01%"
"10/16/2024","582.30","579.78","582.83","578.96","30.73M","0.43%"
"10/15/2024","579.78","584.59","584.90","578.54","54.20M","-0.78%"
"10/14/2024","584.32","581.22","585.27","580.73","36.22M","0.82%"
"10/11/2024","579.58","576.05","580.33","575.91","42.27M","0.60%"
"10/10/2024","576.13","575.77","577.58","574.49","44.14M","-0.18%"
"10/09/2024","577.14","573.16","577.71","572.55","37.91M","0.69%"
"10/08/2024","573.17","570.42","573.78","569.53","37.40M","0.95%"
"10/07/2024","567.80","571.30","571.96","566.63","49.96M","-0.90%"
"10/04/2024","572.98","572.35","573.36","568.10","43.01M","0.91%"
"10/03/2024","567.82","567.36","569.80","565.49","40.85M","-0.18%"
"10/02/2024","568.86","567.71","569.90","565.27","38.10M","0.04%"
"10/01/2024","568.62","573.40","574.06","566.00","72.67M","-0.90%"
"09/30/2024","573.76","570.42","574.38","568.08","63.66M","0.40%"
"09/27/2024","571.47","573.39","574.22","570.42","42.10M","-0.15%"
"09/26/2024","572.30","574.38","574.71","569.90","48.34M","0.40%"
"09/25/2024","570.04","571.14","571.89","568.91","38.43M","-0.22%"
"09/24/2024","571.30","570.48","571.36","567.60","46.81M","0.29%"
"09/23/2024","569.67","569.34","570.33","568.10","44.12M","0.25%"
"09/20/2024","568.25","567.84","569.31","565.17","77.50M","-0.48%"
"09/19/2024","570.98","571.01","572.88","568.08","75.32M","1.71%"
"09/18/2024","561.40","563.74","568.69","560.83","59.04M","-0.30%"
"09/17/2024","563.07","565.10","566.58","560.79","49.32M","0.04%"
"09/16/2024","562.84","561.74","563.11","559.90","36.66M","0.15%"
"09/13/2024","562.01","559.71","563.03","559.45","39.31M","0.52%"
"09/12/2024","559.09","555.01","559.40","552.74","51.89M","0.84%"
"09/11/2024","554.42","548.70","555.36","539.96","75.25M","1.03%"
"09/10/2024","548.79","548.36","549.15","543.38","36.39M","0.44%"
"09/09/2024","546.41","544.65","547.71","542.68","40.45M","1.12%"
"09/06/2024","540.36","549.94","551.60","539.44","68.49M","-1.68%"
"09/05/2024","549.61","550.89","553.80","547.10","44.26M","-0.24%"
"09/04/2024","550.95","550.20","554.43","549.46","47.22M","-0.20%"
"09/03/2024","552.08","560.47","560.81","549.51","60.60M","-2.06%"
"08/30/2024","563.68","560.77","564.20","557.14","62.70M","0.95%"
"08/29/2024","558.35","560.31","563.68","557.18","38.72M","0.01%"
"08/28/2024","558.30","561.21","561.65","555.04","41.07M","-0.58%"
"08/27/2024","561.56","559.49","562.06","558.32","32.69M","0.14%"
"08/26/2024","560.79","563.18","563.91","559.05","35.79M","-0.24%"
"08/23/2024","562.13","559.53","563.09","557.29","50.64M","1.06%"
"08/22/2024","556.22","562.56","563.18","554.98","56.12M","-0.78%"
"08/21/2024","560.62","559.77","562.11","554.73","41.51M","0.34%"
"08/20/2024","558.70","559.15","560.84","557.33","33.73M","-0.16%"
"08/19/2024","559.61","554.73","559.61","553.86","39.12M","0.96%"
"08/16/2024","554.31","551.42","555.02","551.26","44.43M","0.22%"
"08/15/2024","553.07","549.50","553.36","548.88","60.85M","1.71%"
"08/14/2024","543.75","542.85","544.96","540.12","42.45M","0.32%"
"08/13/2024","542.04","536.53","542.28","536.28","52.33M","1.64%"
"08/12/2024","533.27","534.21","535.73","530.95","42.54M","0.05%"
"08/09/2024","532.99","529.81","534.51","528.56","45.62M","0.44%"
"08/08/2024","530.65","523.91","531.29","521.84","63.28M","2.31%"
"08/07/2024","518.66","528.47","531.59","518.05","70.70M","-0.67%"
"08/06/2024","522.15","519.22","529.75","517.87","84.83M","0.92%"
"08/05/2024","517.38","511.64","523.58","510.27","146.27M","-2.91%"
"08/02/2024","532.90","535.75","536.99","528.60","82.79M","-1.86%"
"08/01/2024","543.01","552.57","554.87","539.43","76.43M","-1.42%"
"07/31/2024","550.81","548.98","553.50","547.58","65.66M","1.63%"
"07/30/2024","542.00","546.26","547.34","538.52","46.85M","-0.51%"
"07/29/2024","544.76","546.02","547.05","542.72","39.52M","0.06%"
"07/26/2024","544.44","542.28","547.19","541.49","53.76M","1.12%"
"07/25/2024","538.41","541.35","547.46","537.45","61.16M","-0.52%"
"07/24/2024","541.23","548.86","549.17","540.29","74.52M","-2.27%"
"07/23/2024","553.78","554.54","556.73","553.28","34.44M","-0.16%"
"07/22/2024","554.65","553.00","555.27","551.02","43.35M","1.03%"
"07/19/2024","548.99","552.42","554.08","547.91","65.51M","-0.66%"
"07/18/2024","552.66","558.51","559.52","550.43","56.27M","-0.77%"
"07/17/2024","556.94","558.80","560.51","556.61","57.12M","-1.40%"
"07/16/2024","564.86","562.86","565.16","562.10","36.48M","0.59%"
"07/15/2024","561.53","562.03","564.84","559.63","40.58M","0.28%"
"07/12/2024","559.99","557.63","563.67","557.15","53.08M","0.63%"
"07/11/2024","556.48","561.44","562.33","555.83","53.05M","-0.86%"
"07/10/2024","561.32","557.07","561.67","556.77","38.70M","0.99%"
"07/09/2024","555.82","556.26","557.18","555.52","27.31M","0.10%"
"07/08/2024","555.28","555.44","556.25","554.19","36.11M","0.12%"
"07/05/2024","554.64","551.77","555.05","551.12","41.49M","0.58%"
"07/03/2024","551.46","548.69","551.83","548.65","32.79M","0.45%"
"07/02/2024","549.01","543.70","549.01","543.65","40.43M","0.67%"
"07/01/2024","545.34","545.63","545.88","542.52","40.30M","0.21%"
"06/28/2024","544.22","547.16","550.28","542.95","76.14M","-0.39%"
"06/27/2024","546.37","545.37","546.96","544.61","35.04M","0.16%"
"06/26/2024","545.51","543.69","546.24","543.03","38.55M","0.12%"
"06/25/2024","544.83","543.99","545.20","542.44","38.27M","0.39%"
"06/24/2024","542.74","544.33","546.95","542.62","45.53M","-0.33%"
"06/21/2024","544.51","544.40","545.65","543.02","64.51M","-0.46%"
"06/20/2024","547.00","549.44","550.12","545.18","70.33M","-0.27%"
"06/18/2024","548.49","547.16","548.62","546.73","41.38M","0.25%"
"06/17/2024","547.10","542.08","548.53","541.61","55.84M","0.80%"
"06/14/2024","542.78","540.88","542.81","539.85","40.09M","0.06%"
"06/13/2024","542.45","543.15","543.33","539.59","44.76M","0.20%"
"06/12/2024","541.36","541.63","544.12","540.30","63.25M","0.82%"
"06/11/2024","536.95","534.07","537.01","532.05","36.38M","0.24%"
"06/10/2024","535.66","533.18","535.99","532.57","35.73M","0.31%"
"06/07/2024","534.01","533.66","536.89","532.53","43.22M","-0.12%"
"06/06/2024","534.66","534.98","535.42","532.68","30.81M","0.00%"
"06/05/2024","534.67","530.77","534.69","528.73","47.61M","1.19%"
"06/04/2024","528.39","526.46","529.15","524.96","34.63M","0.11%"
"06/03/2024","527.80","529.02","529.31","522.60","46.84M","0.08%"
"05/31/2024","527.37","523.59","527.50","518.36","90.79M","0.91%"
"05/30/2024","522.61","524.52","525.20","521.33","46.47M","-0.66%"
"05/29/2024","526.10","525.68","527.31","525.37","45.19M","-0.70%"
"05/28/2024","529.81","530.27","530.51","527.11","36.27M","0.07%"
"05/24/2024","529.44","527.85","530.27","526.88","41.29M","0.66%"
"05/23/2024","525.96","532.96","533.07","524.72","57.21M","-0.73%"
"05/22/2024","529.83","530.65","531.38","527.60","48.39M","-0.29%"
"05/21/2024","531.36","529.28","531.52","529.07","33.44M","0.25%"
"05/20/2024","530.06","529.57","531.56","529.17","37.76M","0.12%"
"05/17/2024","529.45","528.81","529.52","527.32","59.19M","0.14%"
"05/16/2024","528.69","529.88","531.52","528.54","50.24M","-0.21%"
"05/15/2024","529.78","525.83","530.08","525.18","59.50M","1.24%"
"05/14/2024","523.30","521.11","523.83","520.56","57.54M","0.46%"
"05/13/2024","520.91","522.56","522.67","519.74","36.72M","0.01%"
"05/10/2024","520.84","521.81","522.64","519.59","52.23M","0.13%"
"05/09/2024","520.17","517.38","520.21","516.71","43.64M","0.58%"
"05/08/2024","517.19","515.26","517.74","515.14","42.05M","0.01%"
"05/07/2024","517.14","517.56","518.57","516.45","52.56M","0.11%"
"05/06/2024","516.57","513.75","516.61","513.30","47.26M","1.03%"
