Date,Price_VIX,Open_VIX,High_VIX,Low_VIX,Vol._VIX,Change %_VIX,Price_SPY,Open_SPY,High_SPY,Low_SPY,Vol._SPY,Change %_SPY
2015-01-05,19.92,19.19,21.29,19.19,,0.1197,201.72,204.17,204.37,201.35,169630000.0,-0.0181
2015-01-06,21.12,20.33,22.9,19.52,,0.0602,199.82,202.09,202.72,198.85,209150000.0,-0.009399999999999999
2015-01-07,19.31,20.15,20.72,19.04,,-0.0857,202.31,201.42,202.72,200.88,125350000.0,0.0125
2015-01-08,17.01,17.93,18.09,16.99,,-0.1191,205.9,204.01,206.16,203.99,147220000.0,0.0177
2015-01-09,17.55,16.44,18.42,16.44,,0.0317,204.25,206.4,206.42,203.51,158570000.0,-0.008
2015-01-12,19.6,18.02,20.44,18.02,,0.1168,202.65,204.41,204.6,201.92,144400000.0,-0.0078000000000000005
2015-01-13,20.56,18.21,21.58,17.65,,0.049,202.08,204.12,205.48,200.51,214550000.0,-0.0028000000000000004
2015-01-14,21.48,22.87,23.34,21.32,,0.0447,200.86,199.65,201.1,198.57,192990000.0,-0.006
2015-01-15,22.39,21.23,23.31,20.86,,0.0424,199.02,201.63,202.01,198.88,176610000.0,-0.0092
2015-01-16,20.95,22.8,23.43,20.95,,-0.0643,201.63,198.77,201.82,198.55,211880000.0,0.0131
2015-01-20,19.89,20.07,21.37,19.58,,-0.0506,202.06,202.4,202.72,200.17,130990000.00000001,0.0021
2015-01-21,18.85,20.92,21.28,18.64,,-0.052300000000000006,203.08,201.5,203.66,200.94,122940000.0,0.005
2015-01-22,16.4,17.98,19.23,16.07,,-0.13,206.1,203.99,206.26,202.33,174360000.0,0.0149
2015-01-23,16.66,16.79,17.09,15.81,,0.0159,204.97,205.79,206.1,204.81,117520000.0,-0.0055000000000000005
2015-01-26,15.52,16.96,17.43,15.52,,-0.0684,205.45,204.71,205.56,203.85,92010000.0,0.0023
2015-01-27,17.22,17.6,18.41,16.67,,0.10949999999999999,202.74,202.97,204.12,201.74,134039999.99999999,-0.0132
2015-01-28,20.44,16.97,20.44,16.92,,0.187,200.14,204.17,204.29,199.91,168510000.0,-0.0128
2015-01-29,18.76,20.46,21.56,18.66,,-0.08220000000000001,201.99,200.38,202.3,198.68,173590000.0,0.0092
2015-01-30,20.97,20.23,22.18,19.24,,0.11779999999999999,199.45,200.57,202.17,199.13,197730000.0,-0.0126
2015-02-02,19.43,20.89,22.81,19.35,,-0.07339999999999999,201.92,200.05,202.03,197.86,163110000.0,0.0124
2015-02-03,17.33,18.41,18.89,17.2,,-0.1081,204.84,203.0,204.85,202.55,124210000.0,0.014499999999999999
2015-02-04,18.33,17.82,18.38,16.82,,0.057699999999999994,204.06,203.92,205.38,203.51,134310000.0,-0.0038
2015-02-05,16.85,17.29,17.43,16.67,,-0.08070000000000001,206.12,204.86,206.3,204.77,97950000.0,0.0101
2015-02-06,17.29,16.29,18.74,16.06,,0.026099999999999998,205.55,206.56,207.24,204.92,125670000.0,-0.0028000000000000004
2015-02-09,18.55,19.16,19.28,18.21,,0.0729,204.63,204.77,205.64,204.13,87220000.0,-0.0045000000000000005
2015-02-10,17.23,17.72,18.36,16.97,,-0.0712,206.81,205.88,207.12,204.68,96160000.0,0.010700000000000001
2015-02-11,16.96,17.43,17.81,16.82,,-0.015700000000000002,206.93,206.61,207.45,205.83,91090000.0,0.0006
2015-02-12,15.34,16.39,16.47,15.28,,-0.0955,208.92,207.89,208.99,206.97,97550000.0,0.0096
2015-02-13,14.69,15.11,15.64,14.69,,-0.0424,209.78,209.07,209.84,208.76,93670000.0,0.0040999999999999995
2015-02-17,15.8,15.86,16.33,15.53,,0.0756,210.11,209.4,210.32,209.1,76970000.0,0.0016
2015-02-18,15.45,16.74,16.74,15.44,,-0.0222,210.13,209.66,210.22,209.34,80650000.0,0.0001
2015-02-19,15.29,16.11,16.22,15.1,,-0.0104,209.98,209.41,210.42,209.24,91460000.0,-0.0007000000000000001
